RatingID,MovieID,UserID,RatingValue,Comment,RatingDate
21,200,117,9.3,"Konu, aşk ve dramın iç içe geçtiği bir hikayeyi anlatıyor. Sanatsal ve estetik açıdan başarılı bir film. Çarpıcı diyaloglar ve zekice kurgulanmış olay örgüsü var. Duygusal derinliği ve karakter gelişimi ile izlenmeye değer. Çocukluk anıları ve aile bağlarını merkezine alıyor.",2023-03-03
22,133,217,2.8,"Unutulmaz sahneleriyle hafızalarda yer ediniyor. Tarihi olayları özgün bir perspektiften yorumluyor. Film, izleyiciyi derin bir maceraya sürüklüyor. Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş.",2006-10-15
23,143,98,3.3,Renk paleti ve sinematografisiyle dikkat çekiyor. Tarihi olayları özgün bir perspektiften yorumluyor.,2024-09-26
24,203,22,7.9,Çocukluk anıları ve aile bağlarını merkezine alıyor. Tarihi olayları özgün bir perspektiften yorumluyor. Duygusal derinliği ve karakter gelişimi ile izlenmeye değer.,2025-08-11
25,37,59,2.4,Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor. Özgün senaryosu ve sürükleyici kurgusuyla öne çıkıyor. Psikolojik derinliği olan karakterlere odaklanıyor. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Fantastik öğelerle gerçek dünyayı harmanlayan bir hikaye.,1989-03-03
26,132,204,5.8,Doğa ve insan ilişkisini estetik bir dille ele alıyor. Kültürel öğeler ve tarihsel referanslarla zenginleştirilmiş. Gerilim dolu sahneleri ile nefes kesen bir yapım. Yerli kültür motiflerini başarılı şekilde yansıtıyor.,2002-07-21
27,62,203,9.0,Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor. Psikolojik derinliği olan karakterlere odaklanıyor. Toplumsal mesajlar içeren çarpıcı bir yapım.,2023-11-30
28,103,66,10.0,"Toplumsal mesajlar içeren çarpıcı bir yapım. Gerilim dolu sahneleri ile nefes kesen bir yapım. Duygusal derinliği ve karakter gelişimi ile izlenmeye değer. Konu, aşk ve dramın iç içe geçtiği bir hikayeyi anlatıyor. Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş.",2009-03-31
29,95,43,8.3,Unutulmaz sahneleriyle hafızalarda yer ediniyor. Çarpıcı diyaloglar ve zekice kurgulanmış olay örgüsü var. Gizemli atmosferi ile izleyiciyi etkisi altına alıyor.,2025-10-12
30,225,74,6.4,Çocukluk anıları ve aile bağlarını merkezine alıyor. Sürükleyici temposu ve sürpriz sonuyla izleyiciyi şaşırtıyor.,2021-10-30
31,97,108,1.4,Sanatsal ve estetik açıdan başarılı bir film. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli.,2006-07-10
32,129,90,5.2,Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Sanatsal ve estetik açıdan başarılı bir film.,2013-09-15
33,150,259,3.0,Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Çocukluk anıları ve aile bağlarını merkezine alıyor. Fantastik öğelerle gerçek dünyayı harmanlayan bir hikaye.,1988-11-08
34,225,13,1.6,Çarpıcı diyaloglar ve zekice kurgulanmış olay örgüsü var. Sürükleyici temposu ve sürpriz sonuyla izleyiciyi şaşırtıyor. Sinema tarihine adını yazdıracak bir yapım.,2021-10-05
35,286,83,5.9,"Konu, aşk ve dramın iç içe geçtiği bir hikayeyi anlatıyor. Gerilim dolu sahneleri ile nefes kesen bir yapım. Çocukluk anıları ve aile bağlarını merkezine alıyor. Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor.",2008-06-06
36,210,266,1.2,Fantastik öğelerle gerçek dünyayı harmanlayan bir hikaye. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Gizemli atmosferi ile izleyiciyi etkisi altına alıyor.,2023-12-29
37,20,74,7.2,"Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Film, izleyiciyi derin bir maceraya sürüklüyor.",2011-05-01
38,289,30,7.9,Duygusal derinliği ve karakter gelişimi ile izlenmeye değer. Yerli kültür motiflerini başarılı şekilde yansıtıyor.,2011-05-21
39,19,289,1.7,Doğa ve insan ilişkisini estetik bir dille ele alıyor. Renk paleti ve sinematografisiyle dikkat çekiyor. Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Sinema tarihine adını yazdıracak bir yapım. Çocukluk anıları ve aile bağlarını merkezine alıyor.,2025-02-12
40,199,231,7.1,Gizemli atmosferi ile izleyiciyi etkisi altına alıyor. Renk paleti ve sinematografisiyle dikkat çekiyor. Mükemmel müzikleri ve sahne tasarımı ile öne çıkıyor. Toplumsal mesajlar içeren çarpıcı bir yapım.,2020-08-31
41,79,233,8.9,Sanatsal ve estetik açıdan başarılı bir film. Sinema tarihine adını yazdıracak bir yapım. Renk paleti ve sinematografisiyle dikkat çekiyor.,2024-02-16
42,90,199,8.9,"Fantastik öğelerle gerçek dünyayı harmanlayan bir hikaye. Film, izleyiciyi derin bir maceraya sürüklüyor. Unutulmaz sahneleriyle hafızalarda yer ediniyor. Sinema tarihine adını yazdıracak bir yapım.",2019-10-09
43,74,22,4.7,Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Sanatsal ve estetik açıdan başarılı bir film. Renk paleti ve sinematografisiyle dikkat çekiyor.,2007-08-19
44,181,107,4.8,Mükemmel müzikleri ve sahne tasarımı ile öne çıkıyor. Fantastik öğelerle gerçek dünyayı harmanlayan bir hikaye. Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Gizemli atmosferi ile izleyiciyi etkisi altına alıyor. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli.,2015-03-16
45,167,205,7.5,Duygusal derinliği ve karakter gelişimi ile izlenmeye değer. Görsel efektleriyle izleyiciyi büyülüyor. Tarihi olayları özgün bir perspektiften yorumluyor.,2003-12-21
46,98,292,9.5,Mükemmel müzikleri ve sahne tasarımı ile öne çıkıyor. Psikolojik derinliği olan karakterlere odaklanıyor. Yerli kültür motiflerini başarılı şekilde yansıtıyor. Unutulmaz sahneleriyle hafızalarda yer ediniyor.,2012-05-13
47,192,158,4.5,Gerilim dolu sahneleri ile nefes kesen bir yapım. Psikolojik derinliği olan karakterlere odaklanıyor. Renk paleti ve sinematografisiyle dikkat çekiyor. Mükemmel müzikleri ve sahne tasarımı ile öne çıkıyor. Sinema tarihine adını yazdıracak bir yapım.,1994-07-31
48,212,27,3.0,Çocukluk anıları ve aile bağlarını merkezine alıyor. Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Sürükleyici temposu ve sürpriz sonuyla izleyiciyi şaşırtıyor.,2016-06-21
49,222,93,1.2,Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Doğa ve insan ilişkisini estetik bir dille ele alıyor. Çocukluk anıları ve aile bağlarını merkezine alıyor.,2004-11-14
50,89,140,7.9,Doğa ve insan ilişkisini estetik bir dille ele alıyor. Görsel efektleriyle izleyiciyi büyülüyor. Sanatsal ve estetik açıdan başarılı bir film. Unutulmaz sahneleriyle hafızalarda yer ediniyor. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli.,2024-04-09
51,240,126,2.2,Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Çarpıcı diyaloglar ve zekice kurgulanmış olay örgüsü var. Yerli kültür motiflerini başarılı şekilde yansıtıyor. Sürükleyici temposu ve sürpriz sonuyla izleyiciyi şaşırtıyor. Fantastik öğelerle gerçek dünyayı harmanlayan bir hikaye.,2025-07-25
52,19,50,1.8,"Konu, aşk ve dramın iç içe geçtiği bir hikayeyi anlatıyor. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli.",2019-09-25
53,47,161,2.8,Görsel efektleriyle izleyiciyi büyülüyor. Sinema tarihine adını yazdıracak bir yapım. Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor.,2010-01-01
54,186,162,9.1,Toplumsal mesajlar içeren çarpıcı bir yapım. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Tarihi olayları özgün bir perspektiften yorumluyor. Özgün senaryosu ve sürükleyici kurgusuyla öne çıkıyor. Sinema tarihine adını yazdıracak bir yapım.,2008-03-04
55,156,52,6.1,Özgün senaryosu ve sürükleyici kurgusuyla öne çıkıyor. Unutulmaz sahneleriyle hafızalarda yer ediniyor. Gerilim dolu sahneleri ile nefes kesen bir yapım.,2024-12-28
56,273,210,6.1,Tarihi olayları özgün bir perspektiften yorumluyor. Kültürel öğeler ve tarihsel referanslarla zenginleştirilmiş. Duygusal derinliği ve karakter gelişimi ile izlenmeye değer. Gerilim dolu sahneleri ile nefes kesen bir yapım. Çocukluk anıları ve aile bağlarını merkezine alıyor.,2008-07-20
57,76,228,7.8,Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Toplumsal mesajlar içeren çarpıcı bir yapım. Özgün senaryosu ve sürükleyici kurgusuyla öne çıkıyor.,2016-03-06
58,11,186,6.3,"Mükemmel müzikleri ve sahne tasarımı ile öne çıkıyor. Film, izleyiciyi derin bir maceraya sürüklüyor. Toplumsal mesajlar içeren çarpıcı bir yapım.",2016-07-23
59,291,177,4.1,Gizemli atmosferi ile izleyiciyi etkisi altına alıyor. Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor.,2024-11-11
60,91,70,7.1,Gerilim dolu sahneleri ile nefes kesen bir yapım. Çocukluk anıları ve aile bağlarını merkezine alıyor. Görsel efektleriyle izleyiciyi büyülüyor.,2024-09-06
61,165,150,4.2,"Film, izleyiciyi derin bir maceraya sürüklüyor. Çarpıcı diyaloglar ve zekice kurgulanmış olay örgüsü var. Doğa ve insan ilişkisini estetik bir dille ele alıyor. Unutulmaz sahneleriyle hafızalarda yer ediniyor. Özgün senaryosu ve sürükleyici kurgusuyla öne çıkıyor.",1999-09-23
62,187,130,5.6,Toplumsal mesajlar içeren çarpıcı bir yapım. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli.,1992-08-12
63,86,27,7.3,"Mükemmel müzikleri ve sahne tasarımı ile öne çıkıyor. Unutulmaz sahneleriyle hafızalarda yer ediniyor. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Konu, aşk ve dramın iç içe geçtiği bir hikayeyi anlatıyor.",2011-09-18
64,140,235,4.0,Sanatsal ve estetik açıdan başarılı bir film. Çarpıcı diyaloglar ve zekice kurgulanmış olay örgüsü var.,2000-08-07
65,6,294,3.7,"Toplumsal mesajlar içeren çarpıcı bir yapım. Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Konu, aşk ve dramın iç içe geçtiği bir hikayeyi anlatıyor.",2004-06-06
66,139,193,4.3,Unutulmaz sahneleriyle hafızalarda yer ediniyor. Tarihi olayları özgün bir perspektiften yorumluyor. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Sanatsal ve estetik açıdan başarılı bir film. Gizemli atmosferi ile izleyiciyi etkisi altına alıyor.,2016-01-22
67,134,283,5.4,Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor. Mükemmel müzikleri ve sahne tasarımı ile öne çıkıyor. Çocukluk anıları ve aile bağlarını merkezine alıyor. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli.,1990-08-27
68,261,59,8.3,Duygusal derinliği ve karakter gelişimi ile izlenmeye değer. Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor.,1977-01-23
69,91,192,2.4,"Yerli kültür motiflerini başarılı şekilde yansıtıyor. Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor. Film, izleyiciyi derin bir maceraya sürüklüyor.",2023-05-14
70,7,175,2.4,Renk paleti ve sinematografisiyle dikkat çekiyor. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Çocukluk anıları ve aile bağlarını merkezine alıyor. Gerilim dolu sahneleri ile nefes kesen bir yapım. Çarpıcı diyaloglar ve zekice kurgulanmış olay örgüsü var.,2006-02-27
71,63,29,2.8,Özgün senaryosu ve sürükleyici kurgusuyla öne çıkıyor. Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor.,2007-03-23
72,47,2,8.1,"Görsel efektleriyle izleyiciyi büyülüyor. Konu, aşk ve dramın iç içe geçtiği bir hikayeyi anlatıyor. Tarihi olayları özgün bir perspektiften yorumluyor.",2016-11-04
73,41,199,6.6,Toplumsal mesajlar içeren çarpıcı bir yapım. Görsel efektleriyle izleyiciyi büyülüyor. Tarihi olayları özgün bir perspektiften yorumluyor.,2019-08-05
74,254,96,3.6,Mükemmel müzikleri ve sahne tasarımı ile öne çıkıyor. Özgün senaryosu ve sürükleyici kurgusuyla öne çıkıyor.,2014-01-18
75,260,4,2.6,Kültürel öğeler ve tarihsel referanslarla zenginleştirilmiş. Sanatsal ve estetik açıdan başarılı bir film. Psikolojik derinliği olan karakterlere odaklanıyor.,1988-02-20
76,295,97,2.1,Görsel efektleriyle izleyiciyi büyülüyor. Özgün senaryosu ve sürükleyici kurgusuyla öne çıkıyor.,2019-09-13
77,165,117,4.6,Çarpıcı diyaloglar ve zekice kurgulanmış olay örgüsü var. Unutulmaz sahneleriyle hafızalarda yer ediniyor. Sürükleyici temposu ve sürpriz sonuyla izleyiciyi şaşırtıyor. Renk paleti ve sinematografisiyle dikkat çekiyor.,2003-04-15
78,147,112,3.3,"Fantastik öğelerle gerçek dünyayı harmanlayan bir hikaye. Duygusal derinliği ve karakter gelişimi ile izlenmeye değer. Sürükleyici temposu ve sürpriz sonuyla izleyiciyi şaşırtıyor. Film, izleyiciyi derin bir maceraya sürüklüyor.",2022-02-18
79,129,145,1.6,Toplumsal mesajlar içeren çarpıcı bir yapım. Gizemli atmosferi ile izleyiciyi etkisi altına alıyor.,2005-03-27
80,31,221,7.1,"Film, izleyiciyi derin bir maceraya sürüklüyor. Fantastik öğelerle gerçek dünyayı harmanlayan bir hikaye. Çocukluk anıları ve aile bağlarını merkezine alıyor. Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli.",2020-11-23
81,186,34,3.4,Mükemmel müzikleri ve sahne tasarımı ile öne çıkıyor. Gizemli atmosferi ile izleyiciyi etkisi altına alıyor. Fantastik öğelerle gerçek dünyayı harmanlayan bir hikaye. Toplumsal mesajlar içeren çarpıcı bir yapım.,2007-07-14
82,190,256,7.9,Psikolojik derinliği olan karakterlere odaklanıyor. Fantastik öğelerle gerçek dünyayı harmanlayan bir hikaye. Görsel efektleriyle izleyiciyi büyülüyor. Duygusal derinliği ve karakter gelişimi ile izlenmeye değer.,2017-09-25
83,88,22,4.2,Mükemmel müzikleri ve sahne tasarımı ile öne çıkıyor. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Sanatsal ve estetik açıdan başarılı bir film. Fantastik öğelerle gerçek dünyayı harmanlayan bir hikaye.,2015-12-29
84,198,215,8.9,Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Renk paleti ve sinematografisiyle dikkat çekiyor. Sanatsal ve estetik açıdan başarılı bir film. Gizemli atmosferi ile izleyiciyi etkisi altına alıyor.,2017-04-11
85,8,223,8.4,Sanatsal ve estetik açıdan başarılı bir film. Doğa ve insan ilişkisini estetik bir dille ele alıyor. Özgün senaryosu ve sürükleyici kurgusuyla öne çıkıyor.,2025-06-09
86,112,49,4.5,Kültürel öğeler ve tarihsel referanslarla zenginleştirilmiş. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Görsel efektleriyle izleyiciyi büyülüyor.,2009-05-15
87,12,255,2.4,Duygusal derinliği ve karakter gelişimi ile izlenmeye değer. Görsel efektleriyle izleyiciyi büyülüyor. Toplumsal mesajlar içeren çarpıcı bir yapım. Çarpıcı diyaloglar ve zekice kurgulanmış olay örgüsü var.,2016-10-18
88,256,222,9.5,"Toplumsal mesajlar içeren çarpıcı bir yapım. Çocukluk anıları ve aile bağlarını merkezine alıyor. Konu, aşk ve dramın iç içe geçtiği bir hikayeyi anlatıyor.",2020-07-08
89,181,55,9.6,Çarpıcı diyaloglar ve zekice kurgulanmış olay örgüsü var. Sinema tarihine adını yazdıracak bir yapım. Sanatsal ve estetik açıdan başarılı bir film. Duygusal derinliği ve karakter gelişimi ile izlenmeye değer. Sürükleyici temposu ve sürpriz sonuyla izleyiciyi şaşırtıyor.,2000-01-02
90,254,111,5.4,Renk paleti ve sinematografisiyle dikkat çekiyor. Özgün senaryosu ve sürükleyici kurgusuyla öne çıkıyor. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Sinema tarihine adını yazdıracak bir yapım.,2011-09-05
91,220,63,2.2,Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Fantastik öğelerle gerçek dünyayı harmanlayan bir hikaye. Gizemli atmosferi ile izleyiciyi etkisi altına alıyor. Tarihi olayları özgün bir perspektiften yorumluyor.,2023-06-09
92,66,190,9.7,"Film, izleyiciyi derin bir maceraya sürüklüyor. Mükemmel müzikleri ve sahne tasarımı ile öne çıkıyor.",2017-05-11
93,190,214,2.9,Tarihi olayları özgün bir perspektiften yorumluyor. Duygusal derinliği ve karakter gelişimi ile izlenmeye değer. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Renk paleti ve sinematografisiyle dikkat çekiyor.,2016-07-09
94,244,144,4.1,Tarihi olayları özgün bir perspektiften yorumluyor. Görsel efektleriyle izleyiciyi büyülüyor. Sanatsal ve estetik açıdan başarılı bir film. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli.,2009-11-24
95,294,118,8.3,"Toplumsal mesajlar içeren çarpıcı bir yapım. Doğa ve insan ilişkisini estetik bir dille ele alıyor. Film, izleyiciyi derin bir maceraya sürüklüyor.",2022-08-28
96,161,262,4.5,Çarpıcı diyaloglar ve zekice kurgulanmış olay örgüsü var. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor.,2023-07-15
97,271,252,6.4,Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor. Mükemmel müzikleri ve sahne tasarımı ile öne çıkıyor. Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Yerli kültür motiflerini başarılı şekilde yansıtıyor.,2016-10-02
98,99,142,4.3,Toplumsal mesajlar içeren çarpıcı bir yapım. Duygusal derinliği ve karakter gelişimi ile izlenmeye değer.,1989-11-02
99,115,2,4.2,Psikolojik derinliği olan karakterlere odaklanıyor. Sanatsal ve estetik açıdan başarılı bir film. Kültürel öğeler ve tarihsel referanslarla zenginleştirilmiş. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Toplumsal mesajlar içeren çarpıcı bir yapım.,2005-09-05
100,161,275,8.4,Çarpıcı diyaloglar ve zekice kurgulanmış olay örgüsü var. Gerilim dolu sahneleri ile nefes kesen bir yapım. Sinema tarihine adını yazdıracak bir yapım.,2024-02-14
101,32,100,8.2,Duygusal derinliği ve karakter gelişimi ile izlenmeye değer. Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Unutulmaz sahneleriyle hafızalarda yer ediniyor. Tarihi olayları özgün bir perspektiften yorumluyor.,2011-06-26
102,6,153,2.8,"Film, izleyiciyi derin bir maceraya sürüklüyor. Renk paleti ve sinematografisiyle dikkat çekiyor. Yerli kültür motiflerini başarılı şekilde yansıtıyor. Unutulmaz sahneleriyle hafızalarda yer ediniyor.",2009-11-08
103,41,189,8.0,Mükemmel müzikleri ve sahne tasarımı ile öne çıkıyor. Renk paleti ve sinematografisiyle dikkat çekiyor. Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş.,2021-03-19
104,285,81,5.0,Gerilim dolu sahneleri ile nefes kesen bir yapım. Kültürel öğeler ve tarihsel referanslarla zenginleştirilmiş. Mükemmel müzikleri ve sahne tasarımı ile öne çıkıyor. Görsel efektleriyle izleyiciyi büyülüyor.,2023-08-22
105,233,146,6.3,"Film, izleyiciyi derin bir maceraya sürüklüyor. Gerilim dolu sahneleri ile nefes kesen bir yapım. Konu, aşk ve dramın iç içe geçtiği bir hikayeyi anlatıyor. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli.",1994-08-12
106,283,245,2.3,"Psikolojik derinliği olan karakterlere odaklanıyor. Film, izleyiciyi derin bir maceraya sürüklüyor. Renk paleti ve sinematografisiyle dikkat çekiyor. Unutulmaz sahneleriyle hafızalarda yer ediniyor. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli.",2001-07-18
107,203,92,6.5,Renk paleti ve sinematografisiyle dikkat çekiyor. Sinema tarihine adını yazdıracak bir yapım.,2017-04-29
108,166,290,1.4,Fantastik öğelerle gerçek dünyayı harmanlayan bir hikaye. Tarihi olayları özgün bir perspektiften yorumluyor.,2023-10-02
109,68,255,9.3,Sanatsal ve estetik açıdan başarılı bir film. Gerilim dolu sahneleri ile nefes kesen bir yapım. Sürükleyici temposu ve sürpriz sonuyla izleyiciyi şaşırtıyor.,1975-09-25
110,84,121,7.8,Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor. Unutulmaz sahneleriyle hafızalarda yer ediniyor. Yerli kültür motiflerini başarılı şekilde yansıtıyor.,2001-02-14
111,36,253,5.9,Renk paleti ve sinematografisiyle dikkat çekiyor. Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Tarihi olayları özgün bir perspektiften yorumluyor. Sanatsal ve estetik açıdan başarılı bir film. Psikolojik derinliği olan karakterlere odaklanıyor.,2011-12-08
112,46,107,2.4,"Duygusal derinliği ve karakter gelişimi ile izlenmeye değer. Konu, aşk ve dramın iç içe geçtiği bir hikayeyi anlatıyor. Renk paleti ve sinematografisiyle dikkat çekiyor. Çocukluk anıları ve aile bağlarını merkezine alıyor.",2013-03-28
113,286,13,6.8,"Toplumsal mesajlar içeren çarpıcı bir yapım. Konu, aşk ve dramın iç içe geçtiği bir hikayeyi anlatıyor. Duygusal derinliği ve karakter gelişimi ile izlenmeye değer.",2004-05-09
114,120,79,5.5,Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Yerli kültür motiflerini başarılı şekilde yansıtıyor. Renk paleti ve sinematografisiyle dikkat çekiyor. Çocukluk anıları ve aile bağlarını merkezine alıyor.,2016-02-02
115,203,10,7.9,"Film, izleyiciyi derin bir maceraya sürüklüyor. Çocukluk anıları ve aile bağlarını merkezine alıyor. Tarihi olayları özgün bir perspektiften yorumluyor. Unutulmaz sahneleriyle hafızalarda yer ediniyor. Psikolojik derinliği olan karakterlere odaklanıyor.",2021-06-11
116,35,21,6.3,Duygusal derinliği ve karakter gelişimi ile izlenmeye değer. Doğa ve insan ilişkisini estetik bir dille ele alıyor. Toplumsal mesajlar içeren çarpıcı bir yapım.,2009-12-23
117,4,179,1.7,Sürükleyici temposu ve sürpriz sonuyla izleyiciyi şaşırtıyor. Özgün senaryosu ve sürükleyici kurgusuyla öne çıkıyor. Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Görsel efektleriyle izleyiciyi büyülüyor.,2023-11-14
118,78,275,9.2,Kültürel öğeler ve tarihsel referanslarla zenginleştirilmiş. Psikolojik derinliği olan karakterlere odaklanıyor. Gizemli atmosferi ile izleyiciyi etkisi altına alıyor. Sürükleyici temposu ve sürpriz sonuyla izleyiciyi şaşırtıyor.,2008-03-01
